gen,max result,min result,mean,std,best genome
1,0.7699000239372253,0.7236999869346619,0.7587599933147431,0.009436076302208881,[1 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0]
2,0.7699000239372253,0.7404999732971191,0.7631150007247924,0.006863854303815209,[1 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0]
3,0.7749000191688538,0.7551000118255615,0.7661200106143952,0.005947495395994758,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
4,0.7749000191688538,0.7639999985694885,0.7701250195503235,0.0029989836923301934,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
5,0.7749000191688538,0.7645999789237976,0.7716350197792053,0.0028972908400871585,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
6,0.7749000191688538,0.760200023651123,0.7726650208234787,0.0036481860564022734,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
7,0.7749000191688538,0.7566999793052673,0.7734900176525116,0.004132065283529562,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
8,0.7749000191688538,0.7566999793052673,0.7732700169086456,0.0044241578070582524,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
9,0.7749000191688538,0.7627999782562256,0.7740450173616409,0.00279991411115447,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
10,0.7749000191688538,0.7630000114440918,0.7743050187826157,0.0025935465549795393,[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0]
