gen,max result,min result,mean,std,best genome
1,0.9373000264167786,0.9323999881744385,0.934975004196167,0.0015766710094976568,[0 0 1 1 1 0 1 0 0 1 1 0 1]
2,0.9373000264167786,0.9333999752998352,0.9360700130462647,0.0011739322821730197,[0 0 1 1 1 0 1 0 0 1 1 0 1]
3,0.9394000172615051,0.933899998664856,0.936910018324852,0.0012774620867362677,[0 0 1 1 1 0 1 0 0 1 1 0 1]
4,0.9394000172615051,0.9355000257492065,0.937480017542839,0.0010656474984442703,[0 0 1 1 1 0 1 0 0 1 1 0 1]
5,0.9394000172615051,0.9344000220298767,0.937725019454956,0.0014989566910079692,[0 0 1 1 1 0 1 0 0 1 1 0 1]
6,0.9394000172615051,0.9368000030517578,0.9383800178766251,0.0011386838028434824,[0 0 1 1 1 0 1 0 0 1 1 0 1]
7,0.9394000172615051,0.9363999962806702,0.938780015707016,0.001087477774754908,[0 0 1 1 1 0 1 0 0 1 1 0 1]
8,0.9394000172615051,0.9329000115394592,0.9388350158929825,0.0017161840123243763,[0 0 1 1 1 0 1 0 0 1 1 0 1]
